sample_id,muE_mean,muE_std,lnk0_mean,lnk0_std,sigE_mean,sigE_std,n
Eugui dolomite,230.30314612564814,39.03913770349703,28.956522055169327,5.589132258211453,14.822764086087268,1.8914553848864355,5
MBG-CC-1,290.16974950737455,27.06864857796235,42.67393146166372,4.624446584620471,20.372783711436185,1.8307692536267934,5
MGB-CC-1 (hydrothermal),277.81527399258204,40.85864784578446,41.188760815545805,7.055662173284964,13.541712667521834,2.677426499901084,4
NE-CC-1,265.0921261772634,14.41952911259703,35.679270732226485,2.2866551659310725,24.42049088386028,1.064102079919943,9
Optical calcite from Mexico,250.7364817568245,13.60422127728517,34.2044414333974,2.272112729710292,15.697665912530265,1.6972329457605786,3
Siilinjarvi carbonatite Apatite,616.0247758549303,28.589882422300487,85.82515785520836,4.249335402469399,6.908311687934829,3.482841975463368,3
Tazouta aragonite,440.8538772180456,139.24529477843393,73.56674202962631,26.83891590216807,57.15956174910909,14.183140918274502,5
WA-CB-13,247.41537213648726,15.591293556940364,35.772316077937,2.56843670405314,16.634873460205377,0.625632611409304,5
