,T_C,sample_id,mineralogy,reference,mu_nu,sig_nu,mu_std,sig_std,rmse,res_inv,rgh_inv,omega,SN,npt
1,385.0,MBG-CC-1,Calcite,Passey & Henkes (2012),-11.723182519778138,5.53930684577604,0.8563854778533231,0.9780751564733235,0.007036649066889937,0.006684945083846109,0.0005830987547579735,3.2364366763473575,6.837209302325587,7
2,404.9999999999999,MBG-CC-1,Calcite,Passey & Henkes (2012),-8.836059654849706,3.50387644670815,0.22711446841276872,0.4062789831745945,0.012190529301343926,0.012920091726743977,0.0013723371531242335,3.895866144687558,15.303030303030308,10
3,425.0,MBG-CC-1,Calcite,Passey & Henkes (2012),-7.294060832542833,3.9507699229987137,0.10553244185279016,0.24997818512617384,0.008612219756164484,0.008606740539303612,0.0014785612514134148,2.339524064744823,16.463414634146343,12
4,449.9999999999999,MBG-CC-1,Calcite,Passey & Henkes (2012),-5.4610355696782635,2.7172494819684765,0.1506575687096454,0.3358940946394852,0.007741758252340372,0.007443282083177902,0.0023525933359417103,0.9695655615935918,23.44186046511628,7
5,475.0,MBG-CC-1,Calcite,Passey & Henkes (2012),-4.591579473534744,2.221348887600858,0.35105929621014054,0.6101042278635441,0.010283725202876882,0.009626557914022216,0.0026106723485749103,1.0155736154404176,25.08333333333334,5
6,300.0,NE-CC-1,Calcite,Passey & Henkes (2012),-25.318428251406853,11.898834065702449,17.420841426938612,10.151879096775078,0.010199149997679182,0.010083330281849124,0.0002102631762993457,24.887034759027852,4.50000000000001,9
7,350.0,NE-CC-1,Calcite,Passey & Henkes (2012),-24.37648974638276,13.563256828693637,5.068957286373637,3.2387525497536696,0.00480233483261921,0.00475421062345575,0.00019053629255166344,11.852924098447007,3.541176470588238,7
8,385.0,NE-CC-1,Calcite,Passey & Henkes (2012),-10.954527729861054,3.0806579725603487,2.7408133215722223,2.1793323773796933,0.009331985547014645,0.010532402092299043,0.00019944865438829747,22.683219636960388,3.4500000000000037,6
9,425.0,NE-CC-1,Calcite,Passey & Henkes (2012),-9.457237278868746,4.082344420579122,0.22644081733689841,0.36371632475000987,0.009799496880663928,0.009204524620185848,0.0012088235606381368,3.5508765223261136,12.987804878048784,12
10,475.0,NE-CC-1,Calcite,Passey & Henkes (2012),-7.182349956562668,3.793022948407069,0.11803085834368339,0.19446562447345916,0.010641511606961097,0.01055844951898349,0.0015598243241099698,2.949841340341698,21.681159420289863,11
11,524.9999999999999,NE-CC-1,Calcite,Passey & Henkes (2012),-4.205325782105539,3.5824276920354436,0.2928527059278503,0.4834648939918715,0.008499677424071024,0.009136801590037852,0.0013996606817447098,2.339524064744823,21.827956989247316,7
12,560.0,NE-CC-1,Calcite,Passey & Henkes (2012),-2.3057494219068553,4.0490429689594,0.21484024286523962,0.3059609165637623,0.0036061921700422583,0.003454040657194685,0.001118759107752655,0.9695655615935918,23.10000000000001,6
13,600.0,NE-CC-1,Calcite,Passey & Henkes (2012),-0.717332754984308,3.168749502881119,0.5957253238792156,0.45875481199652507,0.002662769307274839,0.00621429785268706,0.00038410797717616877,10.31389768378721,25.20000000000001,6
14,650.0,NE-CC-1,Calcite,Passey & Henkes (2012),0.2746510103418738,2.85190117422059,2.73113096743604,1.8995317074027285,0.008444885579127018,0.009086451063728577,0.00042756266191331483,10.803315190764677,27.245283018867934,8
15,421.9999999999999,NE-CC-1_P,Calcite,Passey & Henkes (2012),-8.587784664456496,2.5468403384323612,0.1886764776586817,0.41175645772381203,0.01151940479133599,0.01178105795311318,0.002426807311469911,1.3412717530678977,14.218750000000007,7
16,385.0,WA-CB-13,Calcite,Henkes et al. (2014),-10.065300076610534,3.709787354771716,0.22097418681197797,0.2662853045018929,0.0049513810387771,0.004483561619611192,0.001232879349018801,1.4715846019280558,7.75384615384615,8
17,405.0,WA-CB-13,Calcite,Henkes et al. (2014),-8.300474162395947,3.2596754920294777,0.13736730509196196,0.26174821680578614,0.007687948696874476,0.007568852755524563,0.0017947967803018806,1.3412717530678977,14.44444444444444,8
18,424.9999999999999,WA-CB-13,Calcite,Henkes et al. (2014),-6.583716434782375,3.0130963693806496,0.09688179297185426,0.2250084886494867,0.010682263142408235,0.005687163640214724,0.0039309462516729675,0.582238167188866,46.09374999999999,10
19,450.0,WA-CB-13,Calcite,Henkes et al. (2014),-5.233694511154538,2.446387891764957,0.0832356029741623,0.1459550183640532,0.00849335458942046,0.005800261216690378,0.003256545809251401,0.9256417889712781,49.57142857142857,9
20,474.9999999999999,WA-CB-13,Calcite,Henkes et al. (2014),-4.05365441813881,2.6590001633454436,0.042820026229166995,0.06854902711512152,0.002998838008884227,0.002373967163093329,0.0028458709078007676,0.4018156480603806,47.6056338028169,10
21,429.9999999999999,Optical calcite from Mexico,Calcite,Stolper & Eiler (2015),-8.69888617831343,3.045995680966366,0.13288423860882165,0.49775094956068466,0.016266031060737898,0.005314117893792823,0.008624328656456046,0.30424361767690017,25.5,7
22,536.0,Optical calcite from Mexico,Calcite,Stolper & Eiler (2015),-2.951382385700919,1.9762965888198634,0.2854769258193643,0.4195564156648556,0.01185351276814052,0.008735249755459454,0.004225987521452989,0.582238167188866,34.31884057971015,8
23,692.0,Optical calcite from Mexico,Calcite,Stolper & Eiler (2015),1.6003517400686635,2.4889454606632264,1.40656772361068,1.124572721926906,0.007303241783050637,0.009144783700567163,0.0004429261829543217,11.315956652786067,23.43362831858407,8
