t_Myr,T_C
2.42E-05,550
2.44E-05,550
2.46E-05,550
2.49E-05,550
2.51E-05,550
2.53E-05,550
2.55E-05,550
2.58E-05,550
2.60E-05,550
2.62E-05,550
2.65E-05,550
2.67E-05,550
2.69E-05,550
2.72E-05,550
2.74E-05,550
2.77E-05,550
2.79E-05,550
2.82E-05,550
2.84E-05,550
2.87E-05,550
2.90E-05,550
2.92E-05,550
2.95E-05,550
2.98E-05,550
3.00E-05,550
3.03E-05,550
3.06E-05,550
3.08E-05,550
3.11E-05,550
3.14E-05,550
3.17E-05,550
3.20E-05,550
3.23E-05,550
3.26E-05,550
3.28E-05,550
3.31E-05,550
3.34E-05,550
3.37E-05,550
3.41E-05,550
3.44E-05,550
3.47E-05,550
3.50E-05,550
3.53E-05,550
3.56E-05,550
3.59E-05,550
3.63E-05,550
3.66E-05,550
3.69E-05,550
3.73E-05,550
3.76E-05,550
3.79E-05,550
3.83E-05,550
3.86E-05,550
3.90E-05,550
3.93E-05,550
3.97E-05,550
4.00E-05,550
4.04E-05,550
4.08E-05,550
4.11E-05,550
4.15E-05,550
4.19E-05,550
4.23E-05,550
4.26E-05,550
4.30E-05,550
4.34E-05,550
4.38E-05,550
4.42E-05,550
4.46E-05,550
4.50E-05,550
4.54E-05,550
4.58E-05,550
4.62E-05,550
4.67E-05,550
4.71E-05,550
4.75E-05,550
4.79E-05,550
4.84E-05,550
4.88E-05,550
4.92E-05,550
4.97E-05,550
5.01E-05,550
5.06E-05,550
5.11E-05,550
5.15E-05,550
5.20E-05,550
5.24E-05,550
5.29E-05,550
5.34E-05,550
5.39E-05,550
5.44E-05,550
5.49E-05,550
5.54E-05,550
5.59E-05,550
5.64E-05,550
5.69E-05,550
5.74E-05,550
5.79E-05,550
5.84E-05,550
5.90E-05,550
5.95E-05,550
6.00E-05,550
6.06E-05,550
6.11E-05,550
6.17E-05,550
6.22E-05,550
6.28E-05,550
6.34E-05,550
6.39E-05,550
6.45E-05,550
6.51E-05,550
6.57E-05,550
6.63E-05,550
6.69E-05,550
6.75E-05,550
6.81E-05,550
6.87E-05,550
6.93E-05,550
7.00E-05,550
7.06E-05,550
7.12E-05,550
7.19E-05,550
7.25E-05,550
7.32E-05,550
7.38E-05,550
7.45E-05,550
7.52E-05,550
7.59E-05,550
7.65E-05,550
7.72E-05,550
7.79E-05,550
7.86E-05,550
7.93E-05,550
8.01E-05,550
8.08E-05,550
8.15E-05,550
8.23E-05,550
8.30E-05,550
8.37E-05,550
8.45E-05,550
8.53E-05,550
8.60E-05,550
8.68E-05,550
8.76E-05,550
8.84E-05,550
8.92E-05,550
9.00E-05,550
9.08E-05,550
9.16E-05,550
9.25E-05,550
9.33E-05,550
9.41E-05,550
9.50E-05,550
9.58E-05,550
9.67E-05,550
9.76E-05,550
9.85E-05,550
9.94E-05,550
0.00010026,550
0.00010117,550
0.00010208,550
0.000103,550
0.00010394,550
0.00010487,550
0.00010582,550
0.00010678,550
0.00010774,550
0.00010872,550
0.0001097,550
0.00011069,550
0.00011169,550
0.0001127,550
0.00011372,550
0.00011475,550
0.00011579,550
0.00011683,550
0.00011789,550
0.00011896,550
0.00012003,550
0.00012112,550
0.00012221,550
0.00012332,550
0.00012443,550
0.00012556,550
0.00012669,550
0.00012784,550
0.00012899,550
0.00013016,550
0.00013134,550
0.00013252,550
0.00013372,550
0.00013493,550
0.00013615,550
0.00013738,550
0.00013862,550
0.00013988,550
0.00014114,550
0.00014242,550
0.0001437,550
0.000145,550
0.00014631,550
0.00014764,550
0.00014897,550
0.00015032,550
0.00015168,550
0.00015305,550
0.00015443,550
0.00015583,550
0.00015724,550
0.00015866,550
0.00016009,550
0.00016154,550
0.000163,550
0.00016447,550
0.00016596,550
0.00016746,550
