Time/Myr,Avg_T/Celsius,Min_T/Celsius,Max_T/Celsius,2xAvg_T/Celsius
86,75.96,72.162,79.758,
86.5,76.14,72.333,79.947,
87,76.32,72.504,80.136,
87.5,76.5,72.675,80.325,
88,76.68,72.846,80.514,
88.5,76.86,73.017,80.703,
89,77.04,73.188,80.892,
89.5,77.22,73.359,81.081,
90,77.4,73.53,81.27,
90.5,77.58,73.701,81.459,
91,77.76,73.872,81.648,
91.5,77.94,74.043,81.837,
92,78.12,74.214,82.026,
92.5,78.3,74.385,82.215,
93,78.48,74.556,82.404,
93.5,78.66,74.727,82.593,
94,78.84,74.898,82.782,
94.5,79.02,75.069,82.971,
95,79.2,75.24,83.16,
95.5,79.38,75.411,83.349,
96,79.56,75.582,83.538,
96.5,79.74,75.753,83.727,
97,79.92,75.924,83.916,
97.5,80.1,76.095,84.105,
98,80.28,76.266,84.294,
98.5,80.46,76.437,84.483,
99,80.64,76.608,84.672,
99.5,80.82,76.779,84.861,
100,81,76.95,85.05,
100.5,81.18,77.121,85.239,
101,81.36,77.292,85.428,
101.5,81.54,77.463,85.617,
102,81.72,77.634,85.806,
102.5,81.9,77.805,85.995,
103,82.08,77.976,86.184,
103.5,82.26,78.147,86.373,
104,82.44,78.318,86.562,
104.5,82.62,78.489,86.751,
105,82.8,78.66,86.94,
105.5,82.98,78.831,87.129,
106,83.16,79.002,87.318,
106.5,83.34,79.173,87.507,
107,83.52,79.344,87.696,
107.5,83.7,79.515,87.885,
108,83.88,79.686,88.074,
108.5,84.06,79.857,88.263,
109,84.24,80.028,88.452,
109.5,84.42,80.199,88.641,
110,84.6,80.37,88.83,
110.5,84.78,80.541,89.019,
111,84.96,80.712,89.208,
111.5,85.14,80.883,89.397,
112,85.32,81.054,89.586,
112.5,85.5,81.225,89.775,
113,85.68,81.396,89.964,
113.5,85.86,81.567,90.153,
114,86.04,81.738,90.342,
114.5,86.22,81.909,90.531,
115,86.4,82.08,90.72,
115.5,86.58,82.251,90.909,
116,86.76,82.422,91.098,
116.5,86.94,82.593,91.287,
117,87.12,82.764,91.476,
117.5,87.3,82.935,91.665,
118,87.48,83.106,91.854,
118.5,87.66,83.277,92.043,
119,87.84,83.448,92.232,
119.5,88.02,83.619,92.421,
